ssn,name,union_no,addr,phone,salary,job_title,exam_date,expertise,certifications
283-78-3468,Marie Callahan,UAW0001,736 Meredith Ln,168-518-2746,107000,Technician,,Boeing-777 Airbus-A380 Boeing-767 Boeing-787,
674-75-6749,Anna Nunez,UAW0002,882 Mountain View Rd,491-674-5091,64000,Traffic Controller,2013-06-16,,
902-60-2098,Lauren Santiago,UAW0003,660 Windharp Dr,502-418-2460,139000,Pilot,,,Boeing-737:2019-03-25 Boeing-767:2018-02-12 Airbus-A350:2018-11-24 Boeing-787:2020-02-03
567-07-9159,Melissa Wall,UAW0004,760 Manitou Ln,151-692-4763,82000,Technician,,Airbus-A380 Boeing-777,
685-22-6036,Daniel Carter,UAW0005,775 Bauer Ave,376-615-0589,141000,Traffic Controller,2009-02-16,,
787-99-2136,Kathryn Conrad,UAW0006,167 Monroe St,689-118-2961,128000,Technician,,Airbus-A320 Airbus-A350 Boeing-787,
064-42-0116,Johnny Preston,UAW0007,851 Plaza Aleman,155-870-2600,100000,Traffic Controller,2016-04-14,,
375-03-5185,Nancy Wright,UAW0008,353 Nipomo Dr,595-280-9871,145000,Pilot,,,Boeing-787:2020-09-17 Airbus-A320:2019-05-24 Airbus-A300:2019-08-08 Boeing-747:2017-07-14 Boeing-767:2017-03-23
685-14-9422,Gerald Rojas,UAW0009,456 Cannon Green Dr,137-324-6169,114000,Technician,,Airbus-A320 Boeing-767,
196-31-0063,Patricia Parks,UAW0010,501 Orizaba Ln,825-232-4640,91000,Technician,,Boeing-767 Airbus-A330,
906-56-8783,Peter Chandler,UAW0011,382 Cortona Dr,604-469-8189,93000,Pilot,,,Boeing-787:2020-01-08 Boeing-777:2019-03-20 Airbus-A330:2017-11-09 Airbus-A320:2017-11-17
361-18-6537,Rebecca Moran,UAW0012,703 Princeton Pl,907-643-3509,143000,Technician,,Boeing-767 Airbus-A320 Airbus-A350,
635-71-9959,Diane Ali,UAW0013,608 Indian Hills Rd,556-017-2523,84000,Pilot,,,Boeing-767:2018-02-11 Boeing-747:2020-05-27 Airbus-A330:2018-01-21 Airbus-A350:2018-09-23 Airbus-A380:2020-09-15
549-02-6149,Raymond Esparza,UAW0014,364 Rogue Dr,516-323-9786,75000,Traffic Controller,2010-05-25,,
073-25-7736,Gregory Bowers,UAW0015,492 Sycamore Canyon Rd,235-907-9420,128000,Traffic Controller,2011-03-09,,
792-21-5886,Judith Webb,UAW0016,343 Nogal Dr,252-121-3773,78000,Technician,,Airbus-A330 Boeing-787,
744-96-1265,Billy Dixon,UAW0017,657 Encina Rd,103-902-8687,73000,Traffic Controller,2006-10-01,,
968-75-5960,Mark Hunt,UAW0018,714 Island Oak Ln,376-626-2520,87000,Pilot,,,Boeing-747:2019-07-24 Airbus-A320:2018-09-15 Airbus-A330:2019-11-09 Boeing-777:2017-12-04 Airbus-A350:2019-12-25 Boeing-767:2020-01-24 Boeing-737:2020-10-27
056-86-0607,Lawrence Green,UAW0019,829 Whispering Pines Dr,740-135-4265,120000,Pilot,,,Airbus-A320:2017-02-24 Boeing-747:2020-11-26 Boeing-737:2020-07-04
599-36-1385,Jonathan Krause,UAW0020,311 Alabama Ave,439-265-4330,74000,Traffic Controller,2014-08-28,,
081-74-2345,Henry Schneider,UAW0021,618 Via Di Campo,291-290-2909,105000,Traffic Controller,2012-11-11,,
909-69-7634,Alice Camacho,UAW0022,635 La Gama Way,195-199-4945,97000,Traffic Controller,2004-10-09,,
108-64-3805,Kelly Lewis,UAW0023,917 E Ocean Ave,575-154-0431,122000,Technician,,Airbus-A320 Boeing-747,
192-48-3077,Amber Blake,UAW0024,846 Wedgewood Dr,029-731-5064,69000,Technician,,Boeing-767 Boeing-747 Airbus-A300 Airbus-A330,
974-37-5395,Jane Ayala,UAW0025,726 Indian Way,891-404-0820,66000,Technician,,Airbus-A300 Boeing-767 Boeing-787 Boeing-777 Boeing-737,
244-41-9381,Christian Oconnor,UAW0026,296 Alderwood Ln,808-706-5348,93000,Traffic Controller,2013-12-07,,
800-39-2298,Joseph Winters,UAW0027,902 San Gabriel Ln,421-666-0117,121000,Pilot,,,Boeing-777:2020-12-23 Airbus-A330:2017-12-26 Boeing-767:2018-08-18 Airbus-A320:2019-09-08
803-45-4043,Catherine Wilcox,UAW0028,364 Designated Vehicle Route 36,624-406-8332,61000,Traffic Controller,2002-02-25,,
253-95-8644,Richard Michael,UAW0029,214 Channing Ln,660-127-0047,100000,Technician,,Boeing-747 Boeing-737,
985-49-3886,Samuel Waller,UAW0030,546 Bell St,862-025-3605,144000,Traffic Controller,2008-02-26,,
691-08-7897,Howard Alvarado,UAW0031,944 Las Manos Ln,978-897-3799,105000,Technician,,Airbus-A320,
883-59-1144,Stephen Molina,UAW0032,445 Lemon Grove Ln,771-650-5369,110000,Traffic Controller,2001-03-17,,
289-23-9555,Kathy Bryant,UAW0033,650 Avola Ave,146-023-8712,73000,Traffic Controller,2001-02-21,,
795-49-7771,Emma Chang,UAW0034,354 Wood Mill Ln,096-132-6004,110000,Traffic Controller,2013-12-11,,
369-47-2907,Denise Hebert,UAW0035,137 Powers Ave,744-562-0543,50000,Technician,,Airbus-A350 Boeing-737 Airbus-A330 Boeing-767,
392-69-6919,Andrea Reilly,UAW0036,727 Terrace Dr,789-036-6748,82000,Technician,,Boeing-737,
774-11-3964,Bryan Armstrong,UAW0037,780 E College Ave,497-262-2132,105000,Traffic Controller,2014-07-04,,
864-10-3339,Julie Meyer,UAW0038,841 Greenwell Ave,701-154-9165,125000,Pilot,,,Airbus-A330:2017-07-16 Airbus-A350:2017-12-13 Boeing-737:2018-01-21 Airbus-A380:2017-05-11 Boeing-787:2020-05-06
588-63-3174,Donald Roberson,UAW0039,534 Avena St,315-272-5613,94000,Technician,,Airbus-A350 Airbus-A330 Boeing-787,
803-00-4554,Jacob Duarte,UAW0040,845 La Cima Rd,216-237-7774,112000,Pilot,,,Airbus-A330:2017-07-04 Airbus-A320:2019-09-05 Boeing-777:2020-02-12 Airbus-A350:2018-07-28 Airbus-A300:2020-06-14 Boeing-767:2020-08-07 Boeing-737:2019-10-15 Airbus-A380:2020-07-04 Boeing-787:2017-08-07
074-46-6203,Carolyn Deleon,UAW0041,762 La Quinta Way,948-038-2180,69000,Technician,,Boeing-787,
423-72-7502,Teresa Harper,UAW0042,462 Santa Ynez Ct,307-627-9996,64000,Pilot,,,Boeing-747:2019-05-02 Boeing-737:2018-12-02 Airbus-A320:2017-03-03 Airbus-A330:2020-07-08 Airbus-A300:2019-10-07 Boeing-767:2020-03-25 Airbus-A350:2017-10-16
825-14-3933,Joyce Compton,UAW0043,520 Centerpointe Pkwy,457-848-8481,148000,Pilot,,,Boeing-767:2017-08-02 Airbus-A320:2017-02-07 Boeing-747:2019-07-24 Airbus-A380:2019-04-09 Airbus-A330:2020-03-08 Boeing-777:2018-12-08
409-85-9552,David Thomas,UAW0044,633 Covington Way,665-809-5399,96000,Technician,,Airbus-A300 Airbus-A330 Boeing-747,
765-01-7861,Charles Bernard,UAW0045,715 Honor Farm Rd,597-636-8857,100000,Pilot,,,Boeing-737:2017-02-04 Airbus-A320:2018-04-01 Airbus-A330:2020-12-08 Boeing-767:2019-03-12
963-18-4477,Gabriel Sawyer,UAW0046,199 Lower Hyde,064-985-2884,73000,Traffic Controller,2002-01-25,,
455-30-8094,Tyler Saunders,UAW0047,646 San Agustin,806-000-7711,118000,Traffic Controller,2000-03-03,,
849-16-2220,Laura Mooney,UAW0048,211 Plaza Pacifica,603-015-3716,88000,Traffic Controller,2011-11-06,,
948-10-3661,Samuel Kidd,UAW0049,154 San Federico Ave,396-612-8732,100000,Pilot,,,Boeing-777:2017-04-26 Airbus-A350:2020-03-24 Boeing-737:2017-10-06
013-18-7468,Margaret Barber,UAW0050,377 Eileen Way,767-326-7901,101000,Traffic Controller,2009-04-22,,
818-05-8488,Jeffrey Pugh,UAW0051,568 Loma Alta Dr,079-698-1092,139000,Pilot,,,Airbus-A350:2017-02-18 Airbus-A320:2020-09-09
