flight_no,src,dest,arrival,depart,pilot
KQ48869,JRD,KPK,2015-11-05 13:55:42,2015-11-05 09:04:43,824-16-6581
QK48822,BSI,DGN,2012-06-18 01:28:37,2012-06-17 23:19:56,645-16-3875
KM88277,TDO,GRE,2009-11-27 20:51:21,2009-11-27 19:04:14,957-73-7282
JB71697,OCA,LEE,2012-08-22 16:39:49,2012-08-22 15:21:54,056-18-8701
JS28819,KZH,TIK,2016-03-26 13:42:54,2016-03-26 07:12:46,863-12-2025
PN44684,RWF,CKX,2015-08-14 01:43:53,2015-08-13 21:08:14,061-53-2624
SL11332,KEK,RSW,2013-06-04 08:06:32,2013-06-04 01:59:19,793-25-1234
UA67773,MYV,GRF,2016-11-28 20:03:16,2016-11-28 16:16:48,317-92-2083
RK6678,CNE,SWO,2013-03-05 14:32:07,2013-03-05 10:40:32,692-57-6401
IH57872,OCA,LWB,2015-11-22 17:08:04,2015-11-22 14:57:35,053-84-6958
GF13735,NSF,KKB,2011-04-16 08:31:24,2011-04-16 02:41:03,553-61-7445
GE99152,LPO,WWP,2016-06-10 08:33:29,2016-06-10 06:46:51,568-83-1187
IK20594,NPT,NOL,2008-01-10 16:00:06,2008-01-10 12:51:49,328-60-2063
WD36972,SVC,WVI,2015-01-31 17:11:20,2015-01-31 10:42:45,469-62-5718
KV31864,LSN,ESC,2011-04-15 15:10:01,2011-04-15 08:17:59,378-32-5403
KE59834,OPF,CAK,2014-01-07 07:41:18,2014-01-07 02:26:14,786-87-9934
YZ54668,MOR,CLU,2016-03-06 22:22:04,2016-03-06 16:38:25,180-43-3770
PG30537,MKF,PUW,2008-04-05 06:00:19,2008-04-05 01:45:36,421-13-5349
VP72234,FAI,SDF,2016-06-26 12:17:24,2016-06-26 06:26:11,462-66-7935
SJ2035,TCS,OBE,2013-01-23 10:10:06,2013-01-23 03:51:15,776-97-6021
XH10683,LSV,COM,2008-09-18 18:02:38,2008-09-18 12:49:18,025-38-4942
TG99986,SCC,WRL,2010-10-28 14:15:46,2010-10-28 08:37:31,471-81-5254
MK45533,AYS,SKK,2010-01-18 07:28:41,2010-01-18 04:44:48,551-13-4065
OE40701,PCU,ANI,2011-03-06 13:21:19,2011-03-06 08:00:09,944-29-9044
HC23308,GTG,TPH,2010-08-09 15:55:37,2010-08-09 14:15:40,655-45-7422
VF61325,GLR,PSQ,2008-04-24 00:34:56,2008-04-23 20:44:23,957-73-7282
DE13672,RBG,THP,2015-11-26 01:18:04,2015-11-25 19:47:17,957-73-7282
GF41900,KYL,MYV,2014-08-15 18:23:51,2014-08-15 14:29:03,957-73-7282
YI98317,MGJ,SBM,2011-02-11 03:34:21,2011-02-10 21:10:07,554-65-4897
HR3920,TSM,SJN,2009-08-28 14:10:22,2009-08-28 12:59:32,716-05-7534
DK3569,XSM,OBE,2009-03-08 04:41:11,2009-03-08 00:46:24,469-62-5718
ZU28639,LGC,OBU,2010-07-05 16:41:00,2010-07-05 12:46:04,366-20-0523
SU20075,CAO,PYM,2012-04-06 09:51:47,2012-04-06 08:07:24,775-51-1864
EA76035,BTR,TNP,2016-12-14 16:53:08,2016-12-14 11:19:27,491-58-8939
PM93916,SUD,RDU,2010-08-19 13:02:42,2010-08-19 06:27:15,897-49-1333
SF88018,LOL,MOR,2009-03-07 04:36:40,2009-03-06 22:40:42,335-12-3800
VW97880,AHT,CEY,2010-07-22 22:59:59,2010-07-22 16:55:57,864-89-9533
AB12075,SJT,SYN,2012-01-24 04:43:30,2012-01-24 01:14:11,922-34-0144
YD58244,TSG,PGD,2012-11-18 09:05:33,2012-11-18 07:56:30,512-20-8200
UU90890,ISN,BUM,2011-01-01 23:47:38,2011-01-01 20:21:58,194-78-4637
WQ33885,AIO,NBU,2014-04-23 17:43:14,2014-04-23 11:38:02,305-29-9154
TJ36322,CSP,LLY,2010-03-04 06:30:36,2010-03-04 04:50:44,116-74-7937
FR29207,POC,INR,2013-05-25 08:31:03,2013-05-25 07:01:55,056-80-0641
MH42056,NOH,LNK,2012-01-26 11:29:02,2012-01-26 04:35:26,337-27-8061
JP40771,MCB,DDC,2008-07-26 19:47:17,2008-07-26 17:22:56,554-76-0511
PZ3478,WNA,MSL,2008-11-21 23:41:46,2008-11-21 20:50:26,089-35-6342
AV67725,RZZ,FLD,2012-10-16 02:45:19,2012-10-15 22:35:54,605-79-0530
AH60858,EED,QNY,2008-02-04 05:31:46,2008-02-03 23:43:11,469-62-5718
AR24711,HLB,VHN,2009-09-29 12:32:59,2009-09-29 06:42:59,424-15-2508
PO14309,GVW,SIT,2008-02-16 11:37:22,2008-02-16 05:14:47,278-28-3161
KI5246,NHK,RST,2011-12-13 19:32:53,2011-12-13 14:01:06,431-72-3440
LM68509,LMA,FBY,2016-02-24 10:16:51,2016-02-24 03:37:26,244-57-5376
CX76682,PLR,FRH,2010-06-11 03:57:35,2010-06-11 02:56:16,819-72-4018
TX8908,SNS,FBR,2011-12-12 08:50:27,2011-12-12 03:22:53,190-56-5509
HL63664,JLB,OSC,2008-09-29 02:34:09,2008-09-28 21:29:53,499-82-9898
OI29244,JCT,GLR,2012-12-02 15:23:59,2012-12-02 09:03:42,132-28-4931
VX3111,SYI,MNM,2014-05-29 09:36:05,2014-05-29 07:26:42,155-83-7798
JV45627,RBD,BZS,2013-10-16 02:42:35,2013-10-15 21:26:06,871-90-8968
XZ9676,WBU,WGO,2013-02-03 19:04:07,2013-02-03 12:10:08,815-54-7696
IE65500,LCH,LTH,2011-10-15 00:58:55,2011-10-14 19:55:48,432-04-3278
YP25078,SBA,GLS,2010-11-09 03:29:41,2010-11-08 21:23:08,644-26-1154
CS94208,DWF,TNT,2010-12-27 13:30:24,2010-12-27 06:36:33,645-16-3875
JQ53067,PWA,HGT,2012-12-14 17:56:33,2012-12-14 13:14:40,749-45-9596
JZ76706,PBK,DLN,2011-08-08 11:34:46,2011-08-08 08:37:35,370-87-4189
TE49472,FCT,PBI,2012-04-13 18:23:18,2012-04-13 15:14:08,278-28-3161
RJ2669,ABR,PTD,2011-11-25 23:55:36,2011-11-25 19:35:29,093-57-7374
BZ54050,BTL,TNC,2011-07-21 02:52:31,2011-07-20 21:11:02,865-16-8158
KV3720,BDE,PTB,2014-08-03 23:46:20,2014-08-03 18:27:59,600-20-1530
OO41465,IKO,CZZ,2013-06-06 02:35:26,2013-06-06 00:05:29,293-78-1980
SP33827,ONM,HUS,2012-12-31 06:52:56,2012-12-31 04:49:14,870-09-4082
HL89169,TNK,POC,2014-07-06 10:57:17,2014-07-06 06:14:30,652-68-4697
GV86620,GON,BKF,2015-01-22 14:15:03,2015-01-22 13:10:10,818-05-8488
PD57778,SHX,BIS,2015-09-10 14:13:10,2015-09-10 09:26:53,132-28-4931
WT5948,NGU,SUD,2013-10-25 20:33:58,2013-10-25 15:32:24,089-35-6342
MS8510,ABI,CCY,2009-02-03 02:53:57,2009-02-03 00:25:27,136-44-7802
ZB84622,ELA,TOR,2011-11-08 21:59:00,2011-11-08 19:13:05,339-83-7072
OA13268,LVD,OFK,2010-02-18 20:37:59,2010-02-18 14:06:31,835-98-3446
KE16623,SKA,GFB,2012-06-28 18:41:52,2012-06-28 14:39:42,922-34-0144
